ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
216.75.238.71,216-75-238-71.static.wiline.com.,US,San Jose,dnsmasq-2.55,,true,1.00,2017-04-28T21:08:14Z,2015-01-12T12:44:38Z
206.196.5.183,host183.206.196.5.xodiax.com.,US,Charlotte,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T21:08:35Z,2015-01-12T13:02:05Z
71.9.145.222,71-9-145-222.static.oxfr.ma.charter.com.,US,Mansfield Center,,,false,1.00,2017-04-28T21:08:40Z,2015-01-12T13:07:14Z
69.90.142.11,ns1.mbccs.com.,US,Edmonds,,,false,0.50,2017-04-28T21:08:39Z,2015-01-12T13:09:22Z
162.243.231.213,,US,New York,dnsmasq-2.59,,false,1.00,2017-04-28T21:08:44Z,2015-01-12T13:14:29Z
64.85.163.213,,US,East Lansing,,,false,0.50,2017-04-28T21:08:52Z,2015-01-12T13:17:19Z
216.66.110.210,vtelinet-216-66-110-210.vermontel.net.,US,Springfield,,,false,1.00,2017-04-28T21:08:48Z,2015-01-12T13:18:45Z
192.249.53.101,,US,Hidalgo,,,false,1.00,2017-04-28T21:09:09Z,2015-01-12T13:20:07Z
76.91.4.192,cpe-76-91-4-192.socal.res.rr.com.,US,Los Angeles,Version: main/17458,,false,1.00,2017-04-28T21:08:56Z,2015-01-12T13:22:37Z
198.99.193.2,,US,Chattanooga,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T21:09:05Z,2015-01-12T13:22:47Z
68.251.194.114,ns9.areanetworking.net.,US,Champaign,,,false,1.00,2017-04-28T21:08:58Z,2015-01-12T13:25:28Z
208.42.254.213,mail.yessy.com.,US,Littleton,,,false,1.00,2017-04-28T21:09:00Z,2015-01-12T13:25:54Z
50.124.89.176,,US,Elko,dnsmasq-2.40,,false,1.00,2017-04-28T21:09:18Z,2015-01-12T13:45:38Z
199.26.11.17,,US,Rock Hill,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T21:09:33Z,2015-01-12T13:59:02Z
12.168.134.69,,US,Westchester,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T21:09:37Z,2015-01-12T14:05:02Z
65.107.59.66,stimulus.whittrio.com.,US,Roseville,9.2.3,,false,1.00,2017-04-28T21:09:42Z,2015-01-12T14:07:49Z
216.172.109.70,,US,Dallas,,,false,1.00,2017-04-28T21:09:41Z,2015-01-12T14:08:54Z
73.27.1.154,c-73-27-1-154.hsd1.fl.comcast.net.,US,Bartow,dnsmasq-2.40,,true,1.00,2017-04-28T21:09:54Z,2015-01-12T14:19:46Z
67.52.104.125,rrcs-67-52-104-125.west.biz.rr.com.,US,Winnetka,,,false,1.00,2017-04-28T21:10:04Z,2015-01-12T14:28:24Z
216.66.110.225,owa2003.vermontel.com.,US,Springfield,,,false,1.00,2017-04-28T21:10:11Z,2015-01-12T14:29:38Z
23.227.192.5,,US,Wilmington,dnsmasq-2.62,,false,1.00,2017-04-28T21:10:05Z,2015-01-12T14:30:00Z
72.29.52.118,,US,Fort Payne,ZyWALL DNS,,false,1.00,2017-04-28T21:10:15Z,2015-01-12T14:36:17Z
64.75.193.26,ip64-75-193-26.aloha.net.,US,Honolulu,,,false,1.00,2017-04-28T21:10:16Z,2015-01-12T14:37:23Z
104.51.163.185,104-51-163-185.lightspeed.miamfl.sbcglobal.net.,US,,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T21:10:20Z,2015-01-12T14:38:54Z
